Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,EXT WAGES,ATS PAY,LTC/LLTC ENCASH,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
711401,E2,E2,,,,,,,,,,,,,,-242,,,,,,,,-100,,1999,,11192,,,
711417,E3,E3,,,,,,,,,,,,,,-242,-500,,,,,,,-100,,2250,-1300,14292,-4057,,
711443,E3,E3,,,-334,,,,,,,,,,,,-500,,,,,,,-100,,2250,-1300,13809,,,-200
711464,E6,E6,,,,,,,,,,,,-162,-817,-242,,,,,,,,-100,,2800,-2500,23622,,,
711471,E3,E3,,-99,-893,,,,,,,,,,,-242,,,,,,,,-100,,2250,,15092,,,-200
711485,E4,E4,,-99,-584,,464,,,,,,,,,,-3361,,,,,,,-100,,2350,-1300,14946,,,-200
711508,E7,E7,,,,,,,,,,,,,,,,,,,,,,-100,,2800,-2500,30780,,,
711513,E4,E4,,,,,,,,,,,,,,,,,,,,,,-100,,2550,-2500,15316,,,
724646,E5,E5,,,,,,,,,,,,,,,-5813,,,,,,,-100,,2650,,19724,,,
728832,S9,S9,-33,-49,-260,900,,,100,,1561,,,,,,-20209,15,,,,100,,,,,,1805,,,-75
728848,S9,S9,,-99,-217,1800,,,,,,,,,,,-500,40,,,,200,,,,,,1805,,,-200
729086,S8,S8,,,,900,,,,,1485,,,,,,,40,,,,100,,,,,,1718,,,
729593,S10,S10,,,,900,,,,,1608,,,,,,,40,,,,100,,,,,,1860,,,
729602,S10,S10,-33,-49,-729,1800,,,,,1624,,,,,,-500,40,,,,200,,,,,,1879,,,-75
730208,S8,S8,,,,900,,,,,,,,,,,,,,,,100,,,,,,1718,,,
730255,S10,S10,,-99,-260,1800,,,,,1624,,,,,,-4854,40,,,,200,,,,,,1879,,,-200
730549,S7,S7,,,,900,,,,,1442,,,,,,-10218,,,,,100,,,-111,,,1668,,,
732884,E0,E0,,-49,-1535,,,,,,,1485,,,,,-6161,,,,,,,-100,,1280,,8196,,,-50
733668,S10,S10,-18,-49,-1545,,,,,,,,,,,,-11459,40,,,,,,,,,,1860,,600,-50
733738,E5,E5,,,,,,,,,,,,,,,-500,,,,,,,-100,,2650,-2500,21091,,,
733771,S10,S10,,,,900,,,,,,,,,,,-500,,,,,100,,,,,,1879,,,
733967,E0,E0,-33,-49,420,,,,,,,,,,,,,,,,,,,-100,,1150,,8275,,,-75
734072,S10,S10,,,,900,,,100,,1608,,,,,,-5853,15,,,,100,,,,,,1860,,,
734282,E6,E6,,,,,,,,,,,,,,,,,,,,,,-100,,2800,-2500,24736,,,
734436,S10,S10,7,-49,-136,900,,,,,,,,,,,-3694,40,,,,100,,,,,,1860,,,-50
734569,S10,S10,-37,-49,-195,1800,,,,,1608,,,,,,,40,,,,200,,,,,,1860,,,-50
734574,S10,S10,,,,900,,,,,1608,,,,,,-500,40,,,,100,,,,,,1860,,,
734581,S10,S10,,-49,-449,900,,,,,1608,,,,,,-500,40,-500,,,100,,,,,,1860,,,-50
734602,S11,S11,,,,1800,,,,,,,,,,,-500,,-500,,,200,,,,,,1954,,,
734618,E3,E3,,-99,-893,,,,,,,,,,,,-10750,,,,3360,,,-100,,2250,,13910,,,-200
734691,S10,S10,,-49,4,900,,,,,,,,,,,,,,,,100,,,,,,1860,,,-75
734831,S10,S10,,-49,-217,900,,,,,1608,,,,,,-5597,40,-500,,,100,,,,,,1860,,,-50
734868,S10,S10,,,,900,,,,,1608,,,,,,-7879,40,,,,100,,,,,,1860,,,
735155,E4,E4,,-49,-281,,,,,,,,,,,-242,-500,,,,,,,-100,,2550,,15004,,,-75
735225,E4,E4,,,,,,,,,,1815,,,,,-16021,,,,,,-3817,-100,,2550,,15004,,,
735232,E3,E3,,-99,-334,,,,,,,1100,,,,,,,,,,,,-100,,2450,,14588,,,-200
735246,E3,E3,,-49,-238,,,,,,,2090,,,,,-20917,,,,,,,-100,,2396,,13663,,,-50
735391,S10,S10,,-49,-587,1800,,,,,1608,,,,,,,40,,,,200,,,,,,1860,,,-75
735428,S10,S10,,-98,-1165,1800,,,,,1608,,,,,,,40,,,,200,,,,,,1860,,,-200
735433,S10,S10,,-49,-142,900,,,,,1608,,,,,,-500,40,,,,100,,,,,,1860,,,-50
735496,E4,E4,,-99,-310,,,,,,,770,,,,,-500,,,,,,4000,-100,,2550,-1300,15004,,,-200
735519,E3,E3,20,-99,-310,,,,,,,,,,,,-500,,,,,,,-100,,2448,,14094,,,-200
735524,E3,E3,,-99,-334,,,,,,,,,,,,,,,,,,,-100,,2345,-1300,12567,,,-200
735545,S8,S8,-40,-49,-1405,900,,,,,1484,,,,,,-10917,40,,,,100,,,,,,1717,,,-50
735592,E4,E4,,,,,,,,,,,,,,,-10817,,,,,,,-100,,1650,,15904,,,
735601,E5,E5,,-99,245,,,,,,,,,,,,-500,,,,,,,-100,,2650,-1300,18752,,,-200
735622,E3,E3,,,,,,,,,,1760,,,,,-5854,,,,,,,-100,,2448,,14094,,,
736042,S9,S9,,-49,-175,900,,,,,1560,,,,,,-9390,40,-500,,,100,,,,,,1805,,,-50
736292,S7,S7,,-49,-217,,,,,,,,,,,,-11098,40,,,,,,,,,,1667,,552,-75
736432,S7,S7,,,,900,,,,,1441,,,,,,-5813,40,,,,100,,,,,,1667,,,
