PERNO,CL,EL,FL,HPL,
728068,6,159,3,40,
728073,7,151,3,144,
728164,8,187,4,97,
728192,0,233,0,13,
728234,9,217,3,149,
728241,12,292,4,112,
728255,0,99,0,52,
728276,8,253,1,180,
728281,11,300,2,275,
728297,15,224,2,363,
728304,5,182,2,136,
728351,15,270,2,300,
728372,8,217,4,185,
728393,2,224,4,162,
728491,15,201,5,216,
728512,2,277,1,8,
728528,2,228,0,74,
728533,5,285,5,434,
728554,1,275,1,79,
728561,13,275,5,309,
728575,2,24,0,14,
728631,9,81,5,49,
728666,8,60,4,20,
728687,6,109,3,51,
728701,8,103,3,48,
728741,0,151,0,72,
728757,6,123,3,166,
728762,4,33,5,44,
728827,10,268,2,224,
728832,8,253,5,144,
728848,2,300,5,254,
729086,9,215,5,156,
729114,10,159,4,122,
729156,8,117,4,84,
729252,0,169,1,146,
729268,0,188,0,110,
729273,0,183,0,58,
729322,12,270,5,162,
729343,9,264,4,0,
729359,9,300,4,59,
729385,8,82,3,43,
729392,7,174,2,118,
729408,7,254,3,30,
729413,11,285,3,128,
729429,1,270,2,7,
729441,13,291,2,186,
729462,2,300,2,231,
729476,8,300,5,59,
729481,13,167,1,239,
729504,13,238,4,278,
729525,8,258,4,188,
729532,10,288,3,48,
729546,8,83,5,6,
729567,7,275,0,111,
729572,11,292,5,292,
729588,9,296,3,113,
729593,6,297,5,259,
729602,12,262,5,114,
729621,6,276,3,94,
729663,13,275,5,159,
729684,12,294,4,194,
729707,14,296,5,22,
729728,9,247,3,152,
729733,8,244,4,186,
729761,14,280,5,58,
729782,15,300,5,178,
729796,2,283,3,203,
729803,0,248,0,180,
729819,10,210,3,75,
729831,8,241,2,44,
729845,8,227,3,83,
729852,11,300,2,361,
729871,12,253,4,107,
729901,1,215,0,145,
729999,9,298,1,255,
730068,1,26,0,24,
730073,0,175,0,8,
730101,7,74,5,17,
730159,6,181,5,126,
730164,0,66,2,19,
730171,0,160,4,0,
730208,7,179,5,184,
730229,10,52,5,118,
730255,4,292,5,322,
730297,15,72,5,140,
730304,3,185,3,60,
730332,6,126,3,116,
730402,10,58,5,28,
730442,12,253,4,178,
730491,5,143,3,56,
730549,6,20,2,20,
730554,11,225,4,228,
730582,9,169,5,131,
730603,9,145,1,150,
730631,0,108,0,50,
730715,6,0,5,8,
730762,7,215,2,216,
730895,2,132,3,113,
730902,10,201,5,104,
731023,7,165,4,142,
731039,1,148,2,134,
731091,0,0,0,0,
731364,9,262,3,110,
731371,7,127,3,24,
731497,0,101,0,42,
731504,1,90,0,28,
731525,0,182,0,172,
731616,10,201,3,108,
731712,5,163,3,78,
731761,8,128,3,164,
731775,2,62,0,140,
731957,10,140,2,0,
731962,12,266,0,194,
731978,0,215,3,342,
732057,7,245,5,121,
732127,5,128,2,148,
732174,0,57,0,8,
732195,6,100,3,16,
732244,1,144,0,156,
732377,4,197,1,152,
732592,7,87,3,77,
732655,7,98,3,121,
732697,2,140,3,118,
732704,7,240,5,48,
732746,3,132,2,156,
732788,4,14,2,12,
732821,10,195,4,21,
732842,10,176,4,114,
732863,13,299,1,51,
732879,14,300,5,155,
732884,11,197,5,118,
732907,4,261,1,13,
732928,0,178,0,104,
732949,8,174,4,120,
732954,6,135,5,22,
733033,0,164,0,146,
733061,5,132,0,30,
733131,7,172,5,112,
733145,3,152,2,102,
733152,8,113,4,92,
733166,13,295,5,12,
733171,2,16,5,38,
733192,3,287,2,58,
733257,2,125,0,152,
733262,10,190,5,127,
733283,6,197,2,142,
733311,10,170,5,65,
733332,0,74,0,5,
733348,0,194,0,174,
733381,3,182,1,103,
733668,5,169,0,118,
733673,8,270,5,320,
733689,5,251,4,74,
733694,10,270,3,295,
733701,5,153,3,272,
733722,15,266,5,74,
733738,10,293,4,256,
733771,4,296,5,390,
733855,15,300,2,390,
733862,15,300,2,206,
733876,0,34,2,82,
733881,0,248,0,16,
733904,15,282,4,5,
733932,9,218,3,161,
733967,15,283,2,234,
734025,10,258,2,159,
734067,5,201,5,184,
734072,11,293,4,208,
734093,15,230,5,94,
734121,9,20,3,0,
734249,13,300,5,285,
734261,3,265,1,119,
734275,7,156,3,126,
734282,10,259,4,211,
734296,11,266,4,68,
734392,8,76,5,21,
734415,7,171,2,82,
734422,2,241,0,182,
734436,9,252,5,81,
734499,2,78,0,175,
734553,9,292,2,155,
734569,11,291,4,82,
734574,12,291,4,353,
734581,9,300,4,308,
734595,10,115,5,148,
734602,15,245,2,315,
734618,10,282,2,431,
734639,4,73,3,16,
734665,11,203,1,101,
734672,4,211,0,110,
734686,8,289,3,24,
734691,12,292,5,137,
734714,12,300,5,134,
734742,8,292,4,60,
734761,10,250,3,68,
734782,8,234,3,250,
734798,1,201,1,145,
734805,6,233,3,0,
734812,9,209,3,402,
734831,11,183,5,98,
734847,1,106,3,21,
734868,7,291,5,201,
734894,15,243,5,74,
734901,3,226,4,265,
734922,8,59,5,95,
734938,3,54,1,4,
734943,14,199,5,125,
734964,12,21,4,23,
