Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,CAR LOAN INT,CAR LOAN PRIN,BASIC ADJ,CLUB,COOPERATIVE,DA ADJ,DUST ALL,FESTIVAL ADV,GRP INS,LOCAL TOUR ADJ,LTE TAXABLE,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
736542,S6,S6,,-49,-879,,,,,,,,,,-6320,,,,,,,,,,,1618,,528,-50
736563,S9,S9,,,,900,,,,,,,,,-3357,,,,,,100,,,,,1787,,,
736579,S7,S7,,-49,-175,900,,,,,,,,,-13474,,40,5000,,,100,,-7,,,1667,,,-50
736682,S10,S10,-33,-49,-389,1800,,,,,,,,,,,,,-120,,200,,,,,1879,,,-75
736696,S11,S11,,-49,-217,900,,,,,,,,,,,,-500,-120,,100,,,,,1935,,,-50
736771,S6,S6,-32,-49,-175,900,,,,,,,,,-2745,,40,-500,,,100,,,,,1618,,,-50
736787,S6,S6,-50,-99,-3405,900,,,,,,,,,-500,,,-500,,,100,,,,,1571,,,-150
736792,S6,S6,,,,,,,,,,,,,-500,,40,,,,,,,,,1618,,576,
736801,S6,S6,-12,-49,-150,900,,,,,,,,,-500,,40,,,,100,,,,,1618,,,-50
736841,S6,S6,-34,-49,-260,900,,,,,,,,,-500,,40,,,,100,,,,,1617,,,-75
736857,S6,S6,,,,900,,,,,,,,,-500,,,-500,,,100,,,,,1617,,,
736878,S6,S6,,-49,-1484,900,,,,,,,,,-500,,40,,,,100,,,,,1617,,,-50
736906,S6,S6,,-49,-449,900,,,,,,,,,-2809,,40,,,,100,,,,,1617,,,-50
736911,S5,S5,-32,-49,-175,900,,,,,,,,,-2829,,15,,,,100,,,,,1570,,,-50
736927,S6,S6,,,,900,,,,,,,,,-5867,,40,,,,100,,,,,1617,,,
736953,S5,S5,,-49,-879,900,,,,,,,,,-3284,,40,,,,100,,,,,1570,,,-50
736969,S4,S4,,-49,-449,900,,,,,,,,,-10560,,40,,,,100,,,,,1524,,,-50
736974,S4,S4,,-49,-175,900,,,,,,,,,-3334,,,,,,100,,,,,1524,,,-50
736981,S4,S4,-33,-49,-175,,,,,,,,,,-2648,,40,,,,,,,,,1524,,552,-50
736995,S4,S4,20,-148,-6148,900,,,,,,,,,-8051,,,5000,,,100,,,,,1524,,,-200
737006,S4,S4,60,-49,-367,900,,,,,,,,,-11483,,40,-500,,,100,,-13,,,1524,,,-50
737011,S4,S4,-5,-49,-260,900,,,,,,,,,-500,,15,,,,100,,,,,1524,,,-75
737027,S4,S4,-32,-49,-277,900,,,,,,,,,-15077,,40,,,,100,,,,,1524,,,-50
737032,S4,S4,,-49,-175,,,,,,,,,,-3861,,,,,,,,,,,1524,,336,-50
737048,S2,S2,,-49,-918,900,,,,,,,,,-13143,,40,,,,100,,-446,,,1437,,,-50
737053,S4,S4,,-49,-449,900,,,,,,,,,-500,,25,5000,,,100,,,,,1524,,,-50
737069,S4,S4,,,,900,,,,,,,,,-500,,40,,,,100,,,,,1524,,,
737074,S4,S4,,-49,-217,900,,,,,,,,,,,,,-25,,100,,,,,1524,,,-50
737081,S4,S4,,-49,-449,900,,,,,,,,,-4800,,40,,,,100,,,,,1524,,,-50
737102,S3,S3,,,,900,,,,,,,,,-500,,40,-500,-25,,100,,,,,1436,,,
737118,S3,S3,-20,-49,-449,900,,,,,,,,,-5446,,,-500,-25,,100,,,,,1436,,,-50
737123,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,
737139,S3,S3,,-49,420,900,,,,,,,,,-4667,,40,,-25,,100,,,,,1436,,,-75
737144,S3,S3,,-49,-217,900,,,,,,,,,-3787,,40,-500,-25,,100,,,,,1436,,,-50
737165,S3,S3,,-49,123,900,,,,,,,,,-500,,40,,-25,,100,,,,,1436,,,-50
737172,S3,S3,,,,900,,,,,,,,,-4089,,40,-500,-25,,100,,,,,1436,,,
737186,S3,S3,,-49,271,900,,,,,,,,,-7921,,25,,-25,400,100,,,,,1436,,,-75
737209,S3,S3,,,,900,,,,,,,,,-5853,,40,,-25,,100,,,,,1436,,,
737214,S3,S3,,-49,-449,900,,,,,,,,,-6998,,40,,-25,,100,,,,,1436,,,-50
737235,S3,S3,-33,-49,420,900,,,,,,,,,-500,,,,-25,,100,,,,,1436,,,-75
737242,S3,S3,,-49,-175,,,,,,,,15441,,-8997,9897,,,-25,,,,-458,,,1436,,144,-50
737261,S3,S3,,,,900,,,,,,,,,-500,,40,,,,100,,,,,1436,,,
737277,S3,S3,,,,900,,,,,,,,,,,40,,,,100,,,,,1394,,,
737298,S3,S3,,-49,-277,900,,,,,,,,,-500,,40,5000,,,100,,,,,1203,,,-75
737305,S2,S2,,-49,-175,900,,,,,,,,,-5505,,40,,,,100,,,,,1134,,,-50
737312,S2,S2,,-49,-650,900,,,,,,,,,-6403,,,-500,,,100,,-573,,,978,,,-50
737326,S4,S4,,-49,10,900,,,,,,,,,-5854,,40,,,,100,,,,,1135,,,-75
737331,S4,S4,,-49,295,900,,,,,,,,,-4863,,,,,,100,,,,,1135,,,-75
737347,S3,S3,,,,900,,,,,,,,,-500,,40,,,,100,,,,,1101,,,
737352,S3,S3,,-99,-240,900,,,,,,,,,-2876,,40,,,,100,,,,,1038,,,-150
737368,S3,S3,,,-175,,,,,,,,,,-500,,,-500,,,,,,,,1038,,528,-75
737373,S3,S3,,-49,-260,900,,,,,,,,,-3347,,40,,,,100,,,,,1038,,,-75
737389,S3,S3,,-49,245,900,,,,,,,,,-2139,,40,,,,100,,,,,1038,,,-75
