Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
734574,S10,S10,,,,900,,,,,,,,,-5774,40,,,,,,100,,,,,,1805,,,
734581,S10,S10,,-49,-449,900,,,,,,,,,-5874,40,5000,,,,,100,,,,,,1805,,,-50
734602,S11,S11,,,,1800,,,,,,,,,-500,,5000,,,,,200,,,,,,1897,,,
734618,E3,E3,,-99,-356,,,,,,,,,,-10791,,,,,,,,,-100,,1600,,14112,,,-150
734639,S8,S8,,-49,-234,,,,,,,,,,-16627,25,,,,,,,,,,,,1668,,528,-50
734691,S10,S10,,-49,4,900,,,,,,,,,,40,,,,,,100,,,,,,1805,,,-75
734714,S10,S10,-33,-99,36,1800,,,,,,,,,-5853,40,,,,,,200,,,,,,1805,,,-150
734742,S10,S10,,-49,-247,900,,,,,,,,,,40,,,,,,100,,,,,,1805,,,-50
734831,S10,S10,,-49,-1542,900,,,,,,,,,-4403,40,,,,,,100,,,-8,,,1805,,,-50
734868,S10,S10,,,,900,,,,,,,,,-4960,40,-500,,,,,100,,,,,,1805,,,
735155,E3,E3,,-49,-281,,,,,,,,,-242,-500,,,,,,,,,-100,,1798,,14744,,,-75
735225,E3,E3,,,,,,,,,,,,,-500,,,,,,,,,-100,,1798,,14744,,,
735232,E3,E3,,-99,41,,,,,,,,,,,,,,,,,,,-100,,1798,,14744,,,-150
735246,E3,E3,,-49,-238,,,,,,,,,,-12138,,,,,,,,,-100,,1695,,13894,,,-50
735391,S10,S10,,-49,-540,900,,,,,,,,,,40,,,,,,100,,,,,,1805,,,-75
735407,S10,S10,,-49,12,900,,,,,,,,,-500,40,,,,,,100,,,,,,1805,,,-50
735428,S10,S10,,-49,-700,1800,,,,,,,,,,40,,,,,,200,,,,,,1805,,,-200
735433,S9,S9,,-49,-175,900,,,,,,,,,-8938,40,-500,,,,,100,,,,,,1753,,,-50
735496,E3,E3,,-99,-310,,,,,,,,,,-500,,,,,,,,,-100,,1798,-1300,14744,,,-150
735519,E3,E3,20,-99,-310,,,,,,,,,,-500,,,,,,,,,-100,,1746,,14313,,,-150
735524,E2,E2,,-99,140,,,,,,,,,,,,,,,,,,,-100,,1544,-1300,12043,,,-150
735545,S7,S7,-40,-49,-263,900,,,,,,,,,-500,40,-500,,,,,100,,,,,,1618,,,-50
735592,E3,E3,,,,,,,,,,,,,-10931,,,,,,,,,-100,,900,,15642,2198,,
735601,E5,E5,,-99,-138,,,,,,,,,,-500,,,,,,,,,-100,,1800,-1300,18977,,,-150
735622,E3,E3,,,,,,,,,,,,,-13013,,,,,,,,,-100,,1746,,14313,,,
735956,S9,S9,-33,-49,52,900,,,,,,,,,-500,40,,,,,,100,,,,,,1735,,,-75
736035,S10,S10,6,-49,-136,900,,,,,,,,,-500,,-500,,,,,100,,,,,,1824,,,-50
736042,S9,S9,,-49,-175,900,,,,,,,,,-6585,40,5000,,,,,100,,,,,,1752,,,-50
736056,S9,S9,,-49,-604,900,,,,,,,,,-9210,25,,,,,,100,,,,,,1735,,,-50
736061,S9,S9,-34,-49,-402,900,,,,,,,,,-11000,15,,,,,,100,,,,,,1752,,,-75
736292,S7,S7,,-49,-217,900,,,,,,,,,-9345,40,-500,,,,,100,,,,,,1618,,,-75
736432,S7,S7,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,,1618,,,
