Perno,Grade,Dept_cd,SAL ADV.,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,INC ADJ,LOCAL TOUR ADJ,LTE TAXABLE,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,UNION MEMBERSHIP,WATER CHGS
735622,E3,E3,,,,,,,,,,,,,,-5854,,,,,,,,-100,,2448,,14094,,,,
736042,S9,S9,,,-49,-175,900,,,,,,,,,-9390,40,-500,,,,,100,,,,,1805,,,-120,-50
736292,S7,S7,,,-49,-217,,,,,,,,,,-11098,40,,,,,,,,,,,1667,,600,,-75
736432,S7,S7,,,,,900,,,,,,,,,-5813,40,,,,,,100,,,,,1667,,,-120,
736516,S7,S7,,,,,900,,,,,,,,,-500,40,-500,,,,,100,,,,,1667,,,-120,
736521,S7,S7,,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,1667,,,-120,
736542,S6,S6,,,-49,-879,,,,,,,,,,-7187,,,,,,,,,,,,1618,,456,-120,-50
736563,S9,S9,,,,,900,,,,,,,,,-3357,,-500,,,,,100,,,,,1787,,,-120,
736579,S7,S7,,,-49,-86,900,,,,,,,,,-13655,40,-500,,,,,100,,,,,1667,,,-120,-50
736682,S10,S10,,-33,-49,-118,1800,,,,,,,,,,,,-120,1200,,,200,,,,,1879,,,-120,-75
736696,S11,S11,,,-49,420,900,,,,,,,,,,,-500,-120,1200,,,100,,,,,1935,,,-120,-50
736771,S6,S6,,-32,-49,-175,900,,,,,,,,,-2745,40,,,,,,100,,,,,1618,,,-120,-50
736787,S6,S6,,-50,-99,-260,900,,,,,,,,,-500,,-500,,,,,100,,,,,1571,,,-120,-200
736792,S6,S6,,,,,,,,,,,,,,-500,40,,,,,,,,,,,1618,,552,-120,
736801,S6,S6,,-12,-49,-150,900,,,,,,,,,-500,40,,,,,,100,,,,,1618,,,-120,-50
736841,S6,S6,,-34,-49,-260,900,,,,,,,,,-500,40,,,,3500,,100,,,,,1617,-104,,-120,-75
736857,S6,S6,,,,,900,,,,,,,,,-500,40,-500,,,,,100,,,,,1617,,,-120,
736878,S6,S6,,,-49,-175,900,,,,,,,,,-500,40,-500,,,,,100,,,,,1617,,,-120,-50
736906,S6,S6,,,-49,-449,900,,,,,,,,,-2809,40,,,,,,100,,,,,1617,,,-120,-50
736911,S5,S5,,-32,-49,-175,900,,,,,,,,,-2829,15,,,,,,100,,,,,1570,,,-120,-50
736927,S6,S6,,,,,900,,,,,,,,,-5867,40,,,,,,100,,,,,1617,,,-120,
736953,S5,S5,,,-49,-879,900,,,,,,,,,-3284,40,,,,,,100,,,,,1570,,,-120,-50
736969,S4,S4,,,-49,-449,900,,,,,,,,,-10560,40,,,,,,100,,,,,1524,,,-120,-50
736974,S4,S4,,,-49,-175,900,,,,,,,,,-3334,,,,900,,,100,,,,,1524,,,-120,-50
736981,S4,S4,,-33,-49,-175,,,,,,,,,,-2648,40,,,,,,,,,,,1524,,528,-120,-50
736995,S4,S4,,95,-49,-4693,900,,,,,,,,,-8051,,,,,,,100,,,,,1524,,,-120,-250
737006,S4,S4,,60,-49,-1443,900,,,,,,,,,-10297,40,-500,,,,,100,,,,,1524,,,-120,-50
737011,S4,S4,,-5,-49,-260,900,,,,,,,,,-500,15,,,,,,100,,,,,1524,,,-120,-75
737027,S4,S4,,-32,-49,-277,900,,,,,,,,,-14391,40,,,,,,100,,,,,1524,,,-120,-50
737032,S4,S4,,,-49,-175,,,,,,,,,,-3861,40,,,,,,,,-49,,,1524,,552,-120,-50
